"Wild.type.untreated.rep1"	"Wild.type.untreated.rep2"	"Wild.type.untreated.rep3"	"Wild.type.untreated.rep4"	"Wild.type.untreated.rep5"	"Wild.type.antibiotic.treated.rep1"	"Wild.type.antibiotic.treated.rep2"	"Wild.type.antibiotic.treated.rep3"	"Wild.type.antibiotic.treated.rep4"	"Wild.type.antibiotic.treated.rep5"
"MPHOSPH9"	5.943182	5.925421	5.997442	6.073294	5.872237	5.746752	5.809805	5.936293	5.84859	5.869053
"AIRE"	5.688388	5.612959	5.542955	5.669394	5.58892	5.497125	5.564194	5.584036	5.524347	5.601552
"C8A"	5.735877	5.771854	5.802884	5.971985	5.675093	5.662634	5.516707	5.566056	5.717223	5.962207
"GPR18"	6.597549	6.185357	6.300725	6.390075	6.70798	6.286589	6.329953	6.516666	6.435625	6.10062
"HSD17B2"	11.017409	11.111462	9.87043	10.057175	10.94613	10.495111	11.003045	10.097691	10.767206	10.713143
"ARHGAP26"	6.390886	6.212706	6.203555	6.285798	6.126808	6.375733	6.122392	6.156596	6.06964	6.120287
"ITGB1BP1"	6.407647	6.285116	6.528022	6.310012	6.590958	6.51739	6.56188	6.479406	6.348003	6.379598
"EXTL2"	8.112057	8.154127	7.879125	7.921224	8.067205	8.214133	8.40621	8.309414	8.649079	8.345917
"OR5A1"	5.500635	5.535381	5.482918	5.581776	5.758646	5.549296	5.622544	5.718527	5.51174	5.498356
"ITGB3BP"	6.290365	6.201735	6.25334	6.130918	6.473492	6.280462	5.864268	6.205526	6.132323	6.096888
"USP19"	7.476538	7.668127	7.420969	7.519165	7.090629	7.522751	7.671796	7.639631	7.659145	7.502776
"TBC1D9B"	5.941356	5.980638	5.955321	5.945111	5.972925	5.934604	6.141827	5.963314	6.050578	5.965313
"SUPT3H"	8.564803	8.598529	7.440056	7.611808	8.19439	8.058529	8.754882	8.22315	8.074895	8.177948
"RAB2A"	11.636628	11.525963	11.59587	11.512975	11.649479	11.374579	10.762889	11.754718	11.32642	11.273214
"WDR24"	6.937779	7.220605	6.901731	6.996833	6.92568	7.04852	7.455924	6.944645	7.066686	7.125057
"IFFO1"	5.65324	5.645135	5.753634	5.805363	5.750657	5.752865	5.677596	5.84153	5.721681	5.660294
"CCDC84"	8.271587	8.062005	7.914984	8.400673	8.828174	8.127271	8.268943	8.344664	8.013552	8.301381
"ATP5J2"	13.854503	13.745166	13.75482	13.891804	13.810479	13.92569	13.75482	13.745166	13.332202	13.777092
"TNPO1"	5.633651	5.541045	5.584889	5.550033	5.722628	5.637901	5.618714	5.712841	5.78256	5.495265
"LCN10"	5.951702	5.683383	5.535472	5.77956	5.767907	5.861904	5.943685	5.835223	5.616008	5.654218
"MKRN2"	7.175946	7.422311	7.379093	7.079325	7.525325	8.068895	7.665333	7.390791	7.5299	7.857145
"TROAP"	6.341382	6.237158	6.897576	6.434727	5.81653	5.603387	5.643678	6.211817	5.698334	5.776501
"SFXN2"	5.762585	5.788803	5.781659	5.755132	5.810997	5.785323	5.851144	5.78669	5.734229	5.788057
"RPF1"	7.649178	7.492908	7.800279	7.603002	7.718997	7.569952	7.19188	7.812402	7.630336	7.764656
"AKT1"	5.682252	5.681684	5.618691	5.629734	5.299396	5.554178	5.645205	5.718359	5.524408	5.607241
"MYF6"	5.634802	5.469545	5.708236	5.551454	5.601826	5.440978	5.547616	5.497902	5.394895	5.835188
"SLC25A24"	7.157887	7.348218	7.344669	7.249531	7.183992	7.979295	6.76412	7.174201	7.384787	7.262703
"SGK1"	13.405819	13.146846	13.418152	13.946016	13.318441	13.061816	13.235201	13.270946	12.672706	12.982232
"SEC23A"	6.791204	6.647	7.379527	7.244637	7.356168	7.49791	6.666195	7.063477	7.766155	7.285112
"ARHGEF7"	5.720478	5.756497	5.66763	5.749673	5.68634	5.697596	5.711333	5.655761	5.77378	5.749329
"TOPBP1"	5.712394	5.628934	5.640865	5.489596	5.65975	5.521424	5.518788	5.686366	5.672855	5.570753
"CYP4F11"	7.740806	7.870627	7.281815	6.967419	7.343751	8.337944	7.900446	7.94397	7.956676	7.896717
"SLC4A8"	5.598453	5.604263	5.669012	5.710523	5.703315	5.576745	5.656223	5.571285	5.558335	5.703652
"PTPRO"	5.762149	5.60085	5.924396	5.840717	5.897438	5.571868	5.636053	5.872785	5.672617	5.640705
"MBD4"	5.880969	5.707741	5.783351	5.746939	5.935024	5.549499	5.618753	5.673353	5.498371	5.681047
"DNASE1L1"	7.672297	7.461892	7.556051	7.437324	7.614011	7.570345	7.912331	7.315815	8.114803	7.794462
"PMEPA1"	5.652092	5.973575	6.019876	5.979798	5.60952	5.93417	5.730029	5.682316	5.838621	5.833296
"BAIAP3"	5.51061	5.726604	5.640196	5.611226	5.529441	5.733913	5.586646	5.5069	5.76208	5.70895
"HEATR1"	6.90315	6.721141	7.040758	6.902028	6.664439	6.532665	6.655818	6.754606	6.526494	6.654488
"MED18"	6.387508	6.415826	6.38788	6.250881	6.42028	6.255462	6.432631	6.248118	6.224487	6.388801
"ZFP64"	7.319317	7.166531	7.163567	7.200965	7.172658	7.224946	7.602551	7.041622	7.367918	7.42021
"ZDHHC7"	10.438489	10.558851	10.43408	10.4305	10.304727	10.48412	10.821064	10.370827	10.701168	10.720016
"PSMD11"	6.567634	6.515867	6.571367	6.308402	6.472364	6.632405	6.841127	6.462221	6.684226	6.603663
"DNM3"	5.651996	5.631354	5.631386	5.556447	5.459342	5.52424	5.361126	5.532854	5.611823	5.541324
"SLC37A1"	8.046241	8.263724	8.21123	8.412541	7.915451	7.961165	8.150384	8.028946	8.259041	7.997762
"RBCK1"	7.431205	7.699778	7.648491	7.697917	7.519728	8.099038	8.021418	7.719425	7.925321	7.854261
"PGM3"	5.917189	5.922117	6.022799	5.871277	5.837559	5.751322	5.713895	5.772324	5.916517	5.82364
"VIMP"	9.986366	9.956508	10.354369	10.066756	10.010219	10.313358	9.691846	10.067671	10.238764	10.299144
"GPHN"	7.156812	7.160886	7.131714	7.055961	7.35548	7.039174	6.848842	7.098847	7.204806	7.048709
"KCNRG"	5.729484	5.815564	5.809142	5.870453	5.612687	5.81602	5.701513	5.727749	5.750934	5.709236
"MAST4"	5.802659	5.901013	5.918231	5.960714	5.864586	5.926313	5.823648	5.934141	5.985472	5.969253
"RNF8"	7.053779	7.159061	7.112081	7.308459	7.440227	7.428293	7.577387	7.31736	7.458444	7.561825
"PLEKHA2"	10.036015	9.895569	10.355434	10.451855	10.536196	9.842307	9.623388	10.208909	9.876962	9.613081
"MAATS1"	5.851289	5.668858	5.690944	5.761582	5.831572	5.665354	5.72966	5.96565	5.865426	5.679694
"HES6"	7.349246	7.554276	7.745829	7.525573	7.779656	7.666292	8.06973	8.074161	7.79358	7.840093
"ZBED3"	5.713603	5.600462	5.80444	5.611201	5.574843	5.61944	5.777921	5.597728	5.91733	5.626834
"MED19"	6.369294	6.398165	6.675779	6.50376	6.562974	6.408702	6.765608	6.366648	6.533498	6.475146
"TCF4"	7.378814	7.289542	7.17977	7.227538	7.225454	6.939313	6.804893	7.1606	7.171028	7.035252
"GNG2"	5.576906	5.614352	5.774673	5.649571	5.530322	5.600771	5.67807	5.603147	5.679921	5.490677
"FAM63B"	7.01593	6.649516	6.979236	7.171209	7.444482	6.654304	6.868187	7.254422	6.914822	6.758023
"COMMD10"	7.514666	7.732684	7.390497	7.349742	7.30768	8.107162	7.601903	7.321835	7.701229	7.602637
"GPR124"	5.820982	5.614402	5.634781	5.574412	5.826381	5.749831	5.777839	5.742989	5.688162	5.637029
"DPP6"	5.404644	5.583812	5.691331	5.622281	5.539869	5.479878	5.691148	5.501393	5.639775	5.693152
"GPR133"	5.55917	5.739552	5.80572	5.791351	5.539605	5.766258	5.918029	5.586058	5.823183	5.804907
"OSBPL3"	6.591659	6.569886	6.851194	6.75451	6.605361	6.850598	6.603855	6.557093	6.707256	6.70998
"RBBP9"	8.29572	8.299202	7.817627	7.591447	7.982839	8.052733	7.552131	7.895322	8.314037	8.167965
"ZNF609"	5.508765	5.738044	5.860437	5.687757	5.627	5.911134	5.878329	5.771424	5.80079	5.783964
"ZFP1"	6.119952	5.922993	5.924619	5.927724	5.680284	6.067934	5.903033	6.181454	5.742455	5.981654
